variable,n_missing,prop_missing,n_observed
rate_successful_key_passes,684,0.14914958569559528,3902
rate_successful_smart_passes,553,0.12058438726559093,4033
rate_successful_sliding_tackles,412,0.08983863933711295,4174
rate_successful_crosses,279,0.06083733100741387,4307
rate_successful_through_passes,152,0.033144352376798955,4434
rate_goal_conversion,72,0.01569995638901003,4514
rate_shots_on_target,72,0.01569995638901003,4514
rate_successful_dribbles,68,0.014827736589620584,4518
rate_successful_long_passes,11,0.002398604448320977,4575
rate_dribbles_against_won,4,8.722197993894462e-4,4582
rate_offensive_duels_won,2,4.361098996947231e-4,4584
per90_accelerations,0,0,4586
per90_aerial_duels,0,0,4586
per90_aerial_duels_won,0,0,4586
per90_assists,0,0,4586
per90_attacking_actions,0,0,4586
per90_back_passes,0,0,4586
per90_clearances,0,0,4586
per90_corners,0,0,4586
per90_counterpressing_recoveries,0,0,4586
per90_crosses,0,0,4586
per90_dangerous_opponent_half_recoveries,0,0,4586
per90_dangerous_own_half_losses,0,0,4586
per90_defensive_actions,0,0,4586
per90_defensive_duels,0,0,4586
per90_defensive_duels_won,0,0,4586
per90_direct_free_kicks,0,0,4586
per90_direct_free_kicks_on_target,0,0,4586
per90_direct_red_cards,0,0,4586
per90_dribbles,0,0,4586
per90_dribbles_against,0,0,4586
per90_dribbles_against_won,0,0,4586
per90_duels,0,0,4586
per90_duels_won,0,0,4586
per90_field_aerial_duels,0,0,4586
per90_field_aerial_duels_won,0,0,4586
per90_forward_passes,0,0,4586
per90_fouls,0,0,4586
per90_fouls_suffered,0,0,4586
per90_free_kicks,0,0,4586
per90_free_kicks_on_target,0,0,4586
per90_goals,0,0,4586
per90_head_shots,0,0,4586
per90_interceptions,0,0,4586
per90_key_passes,0,0,4586
per90_lateral_passes,0,0,4586
per90_linkup_plays,0,0,4586
per90_long_passes,0,0,4586
per90_loose_ball_duels,0,0,4586
per90_loose_ball_duels_won,0,0,4586
per90_losses,0,0,4586
per90_matches_coming_off,0,0,4586
per90_matches_in_start,0,0,4586
per90_matches_substituted,0,0,4586
per90_missed_balls,0,0,4586
per90_new_defensive_duels_won,0,0,4586
per90_new_duels_won,0,0,4586
per90_new_offensive_duels_won,0,0,4586
per90_new_successful_dribbles,0,0,4586
per90_offensive_duels,0,0,4586
per90_offensive_duels_won,0,0,4586
per90_offsides,0,0,4586
per90_opponent_half_recoveries,0,0,4586
per90_own_half_losses,0,0,4586
per90_passes,0,0,4586
per90_passes_to_final_third,0,0,4586
per90_penalties,0,0,4586
per90_pressing_duels,0,0,4586
per90_pressing_duels_won,0,0,4586
per90_progressive_passes,0,0,4586
per90_progressive_run,0,0,4586
per90_received_pass,0,0,4586
per90_recoveries,0,0,4586
per90_red_cards,0,0,4586
per90_second_assists,0,0,4586
per90_shot_assists,0,0,4586
per90_shot_on_target_assists,0,0,4586
per90_shots,0,0,4586
per90_shots_blocked,0,0,4586
per90_shots_on_target,0,0,4586
per90_sliding_tackles,0,0,4586
per90_smart_passes,0,0,4586
per90_successful_attacking_actions,0,0,4586
per90_successful_back_passes,0,0,4586
per90_successful_crosses,0,0,4586
per90_successful_defensive_actions,0,0,4586
per90_successful_dribbles,0,0,4586
per90_successful_forward_passes,0,0,4586
per90_successful_key_passes,0,0,4586
per90_successful_lateral_passes,0,0,4586
per90_successful_linkup_plays,0,0,4586
per90_successful_long_passes,0,0,4586
per90_successful_passes,0,0,4586
per90_successful_passes_to_final_third,0,0,4586
per90_successful_penalties,0,0,4586
per90_successful_progressive_passes,0,0,4586
per90_successful_sliding_tackles,0,0,4586
per90_successful_smart_passes,0,0,4586
per90_successful_through_passes,0,0,4586
per90_successful_vertical_passes,0,0,4586
per90_third_assists,0,0,4586
per90_through_passes,0,0,4586
per90_touch_in_box,0,0,4586
per90_vertical_passes,0,0,4586
per90_xg_assist,0,0,4586
per90_xg_save,0,0,4586
per90_xg_shot,0,0,4586
per90_yellow_cards,0,0,4586
rate_aerial_duels_won,0,0,4586
rate_defensive_duels_won,0,0,4586
rate_duels_won,0,0,4586
rate_field_aerial_duels_won,0,0,4586
rate_successful_back_passes,0,0,4586
rate_successful_forward_passes,0,0,4586
rate_successful_passes,0,0,4586
rate_successful_passes_to_final_third,0,0,4586
rate_successful_progressive_passes,0,0,4586
rate_successful_vertical_passes,0,0,4586
